seed,T_true,T_hat,platt_slope,platt_intercept,fit_images,evaluation_images,interval_calibration_images,deployment_images,interval_expansion,base_predictive_coverage,predictive_coverage,nominal_predictive_coverage,top_ece_raw,top_ece_temperature,multiclass_brier_raw,multiclass_brier_temperature,multiclass_nll_raw,multiclass_nll_temperature,threat_ece_raw,threat_ece_temperature,threat_ece_platt,threat_brier_raw,threat_brier_temperature,threat_brier_platt,utility_oracle,utility_naive,utility_temperature,utility_calibrated,utility_upper,regret_naive,regret_naive_pct,regret_temperature,regret_temperature_pct,regret_calibrated,regret_calibrated_pct,regret_upper,regret_upper_pct,pct_naive_regret_closed_temperature,pct_naive_regret_closed_calibrated,pct_naive_regret_closed_upper
1000.0,0.45,4.24918312005448,0.38616032688708807,-0.9909667819445277,6489.0,4759.0,15906.0,15982.0,1.0,0.9025,0.9425,0.9,0.34332141051639264,0.060319045295736624,0.8527862348214539,0.65805119125627,1.9226105833650207,1.1943133612947319,0.10183859368086204,0.05641854335504403,0.010988978151763777,0.11786889852732396,0.09264060752943871,0.08966164919349068,491.3067580327101,478.5009959765398,488.43651828836255,489.8635225361237,490.5449984071332,12.805762056170295,2.6064697557686998,2.8702397443475434,0.5842052236042007,1.4432354965863965,0.29375445645514797,0.7617596255768717,0.15504765874320733,77.58634174399208,88.72979608510693,94.05143073691715
1001.0,0.45,4.541391039010534,0.356206808112378,-0.9727474371335232,6511.0,4854.0,16017.0,16105.0,1.0,0.855,0.9375,0.9,0.35167457411512104,0.06063518516841228,0.8668666206009199,0.6630666452892535,1.950458338131271,1.204021065502259,0.11493211561083157,0.05146072631939766,0.016750950771435177,0.13141012399346433,0.09964550939487543,0.09746841701605054,480.41906213414495,466.6134333648097,478.29981135413175,478.92265043069114,479.84258876459944,13.805628769335271,2.8736638192512847,2.1192507800132034,0.4411254563045327,1.4964117034538162,0.31148050137860284,0.5764733695455106,0.1199938584836055,84.64937153228087,89.16085802062409,95.82435991016969
1002.0,0.45,4.416914225819859,0.3601097734728733,-0.8778164722669207,6413.0,4726.0,16197.0,16021.0,1.0,0.8725,0.945,0.9,0.34822191128028696,0.059705600611188174,0.8569001046049882,0.6597313913263879,1.9331229507873025,1.1981546498708087,0.11131523101255969,0.05421045893077891,0.012737306671872005,0.12849510365267933,0.10313847473603549,0.0999414105967735,490.38221069143424,479.8044904214267,488.4219322167163,489.1879635802376,489.20971088400495,10.577720270007546,2.1570358873934397,1.9602784747179385,0.3997450217359974,1.1942471111966597,0.2435339384584899,1.1724998074292898,0.23909917241412088,81.46785484320111,88.70978735765142,88.91538273370834
1003.0,0.45,4.322721683425822,0.35688804299230387,-0.9073549579818984,6414.0,4814.0,15919.0,16118.0,1.0,0.8375,0.9125,0.9,0.34061303445758406,0.04753657738936473,0.8413482481613401,0.6583608393743021,1.922491361777396,1.197976623041777,0.10709111992873838,0.0572880448475583,0.016396152111480006,0.12847543900152988,0.10628000066659947,0.10258466634134854,479.73417198447163,468.9278582017176,478.0126533716482,478.4446952767057,478.0275619953746,10.806313782754046,2.252562859562948,1.721518612823445,0.3588484442753368,1.289476707765914,0.26878983884592916,1.7066099890970463,0.3557407599374195,84.06932606777677,88.06737677908438,84.20728822606789
1004.0,0.45,4.447229031331139,0.3663327951864171,-0.9266566973540616,6256.0,4793.0,15790.0,15958.0,0.0,0.885,0.885,0.9,0.3325083070045896,0.04609803038606606,0.8431987741253121,0.6506538597039206,1.8535785870217198,1.1796814748831665,0.08741268985520989,0.06886083430096093,0.022722182841581874,0.10275279159821919,0.08532434379560858,0.0802120427304438,488.5919462234436,470.825941972084,483.38962786865613,486.2125827899264,486.7957783266237,17.76600425135956,3.636163958223492,5.202318354787451,1.0647572877528193,2.3793634335171987,0.4869837605610193,1.7961678968198953,0.3676212657010251,70.71756664479388,86.60721116660143,89.88986003038673
1005.0,0.45,4.564596840071935,0.33796256525493396,-0.8947493744754371,6404.0,4745.0,16239.0,15965.0,1.0,0.865,0.93,0.9,0.34676270979484114,0.03960373852115352,0.8674087523324769,0.671364655746454,1.9532633774563475,1.2172793037442238,0.12542849223784272,0.04975969476022638,0.02024595778361575,0.14756596824741663,0.11222936940848424,0.10917028359847782,452.9340262554762,440.5541493433989,450.1377070076309,451.4278024635438,450.3050384134141,12.37987691207735,2.7332627257936486,2.796319247845304,0.6173789306498354,1.5062237919324275,0.3325481647702145,2.628987842062145,0.580435050066049,77.4123824678958,87.83328943712671,78.76402277071591
1006.0,0.45,4.373228759620102,0.3681685617990724,-0.9223148900270385,6419.0,4806.0,15973.0,15876.0,1.0,0.915,0.945,0.9,0.3438933401039626,0.04913913617019345,0.8653270080607057,0.6673844591585926,1.922878473281939,1.2087441379106718,0.1043813161716633,0.05353722561454586,0.010932420185966503,0.1249278487704683,0.1007427364516055,0.09770264504815741,461.6369838651616,449.5727584860779,459.6340978075774,460.4941599543522,460.4473355949824,12.064225379083723,2.6133576383055854,2.002886057584192,0.4338660305798224,1.1428239108093976,0.24755900214944698,1.189648270179191,0.2577021148129398,83.39813792722504,90.5271671002536,90.13904139886398
1007.0,0.45,4.156930971657348,0.3765701035152031,-0.7983552444043555,6302.0,4748.0,16036.0,15834.0,0.0,0.9075,0.9075,0.9,0.3450628294124751,0.05266914427837888,0.8478538374714337,0.6581748924465707,1.936346932311768,1.1954673251826735,0.10989800865534605,0.057193373478372334,0.022517831166694986,0.13248914406137172,0.10930792252366822,0.10748109917503519,470.503841734872,460.86001212587405,468.788379929847,469.23637052509446,468.39127139831646,9.643829608997976,2.0496813742133595,1.7154618050250292,0.36460101977056514,1.2674712097775682,0.2693859427595887,2.1125703365555637,0.44900171883102136,82.21181963413733,86.85717955245725,78.09407235291182
1008.0,0.45,4.285188451664412,0.37317577760329423,-0.9484827558815009,6409.0,4807.0,15851.0,15812.0,1.0,0.8975,0.965,0.9,0.3313984086126308,0.055518055070193945,0.832015355777492,0.6507263748511856,1.845772923794612,1.1859348932613374,0.09738440482119734,0.0628778626432311,0.012039902318650063,0.11220050992274509,0.09145948498603274,0.08716456956921279,472.87245051521654,461.64532047178164,470.6233467137796,471.38522116213994,472.0786722342472,11.227130043434897,2.3742406712851247,2.249103801436945,0.47562589002307953,1.4872293530766,0.3145096212427251,0.7937782809693203,0.1678630844542671,79.9672419154696,86.75325441744337,92.92982019538034
1009.0,0.45,4.487770247974085,0.35167224458269336,-0.8545274241134603,6483.0,4939.0,15796.0,15962.0,1.0,0.875,0.94,0.9,0.35207009148930934,0.045270039241667004,0.8684240866604831,0.6680425796781562,1.9458501801853985,1.2120830481695046,0.1208737690396609,0.05497280628168425,0.025722567310848345,0.14241856677488984,0.10839652063383186,0.10681428490211221,464.4868347781324,449.7561533687044,462.0753460501131,463.4949360022663,462.4213319260447,14.730681409427973,3.1713883594707815,2.4114887280192647,0.5191726756197818,0.9918987758661046,0.2135472313956749,2.065502852087718,0.4446849076087011,83.62948283929448,93.26644336200722,85.97822602581202
1010.0,0.45,4.401392575588513,0.34904922660260584,-0.8572097529322182,6482.0,4753.0,15858.0,16057.0,1.0,0.9025,0.9625,0.9,0.35613259129201513,0.05598664013295163,0.8717914692493115,0.6660402911482423,1.963590926661051,1.2072276811025833,0.12272094625160335,0.04857036039977781,0.018695334460947975,0.13870030052914512,0.10623824294299901,0.10435984825167206,454.9672717440294,438.97853250328706,451.54751291460116,452.85933756363596,453.1709290184093,15.988739240742348,3.5142614059803896,3.419758829428247,0.7516494134444572,2.1079341803934426,0.46331556384552297,1.796342725620093,0.3948289991792507,78.61145411194117,86.81613260023639,88.76495076583231
1011.0,0.45,4.3983153132964885,0.3419076357191371,-0.8596161830323304,6283.0,4821.0,16185.0,15707.0,1.0,0.8325,0.9075,0.9,0.3437150020962033,0.04398433801565474,0.8491794775469373,0.6599590500043617,1.907932593643162,1.1972549612457015,0.11137843482254679,0.05587372668565616,0.0188147200649767,0.1320725453090225,0.10554108674982077,0.10294525840630749,470.3643125081354,461.48538004015427,468.431706621109,468.824020572398,469.1491832339773,8.878932467981144,1.8876713712900093,1.9326058870263978,0.4108742597245771,1.5402919357374003,0.3274678573134222,1.21512927415813,0.2583378972096471,78.23380351190096,82.65228459286136,86.31446653592556
